0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0	
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00003	1.00007	1.00017	1.00041	1.00096	1.00219	1.00486	1.01047	1.02191	1.04454	1.08797	1.16881	1.31479	1.57052	2.00514	2.7217	3.86784	5.64635	8.32375	12.2341	17.7745	25.3906	35.5472	48.6876	65.1812	85.2656	108.993	136.186	166.423	199.039	233.173	267.827	301.961	334.577	364.814	392.007	415.734	435.819	452.312	465.453	475.609	483.225	488.766	492.676	495.354	497.132	498.278	498.995	499.429	499.685	499.831	499.912	499.955	499.978	499.99	499.995	499.998	499.999	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	499.999	499.999	499.998	499.995	499.99	499.982	499.967	499.94	499.897	499.826	499.717	499.552	499.313	498.978	498.524	497.931	497.187	496.29	495.252	494.105	492.898	491.699	490.586	489.641	488.941	488.545	82.2479	
200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00002	1.00004	1.00009	1.00016	1.0003	1.00056	1.00102	1.00182	1.00322	1.00561	1.00962	1.01628	1.02714	1.04461	1.07227	1.11543	1.18175	1.28214	1.43184	1.65171	1.96982	2.42316	3.05958	3.93963	5.13836	6.74673	8.87247	11.6399	15.189	19.6722	25.2508	32.0884	40.344	50.1624	61.6647	74.9381	90.0262	106.92	125.554	145.798	167.464	190.303	214.02	238.279	262.721	286.98	310.697	333.536	355.202	375.446	394.08	410.974	426.062	439.335	450.838	460.656	468.912	475.749	481.328	485.811	489.36	492.128	494.253	495.862	497.06	497.94	498.577	499.03	499.348	499.568	499.718	499.818	499.885	499.928	499.955	499.973	499.984	499.99	499.994	499.997	499.998	499.999	499.999	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	499.999	499.999	499.998	499.997	499.996	499.993	499.989	499.983	499.974	499.961	499.943	499.916	499.88	499.83	499.762	499.673	499.557	499.409	499.223	498.993	498.716	498.387	498.004	497.566	497.077	496.542	495.97	495.374	494.769	494.173	493.606	493.09	492.642	492.283	492.028	491.886	82.811	
300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00002	1.00004	1.00006	1.0001	1.00018	1.00029	1.00048	1.00079	1.00128	1.00205	1.00326	1.00512	1.00798	1.01232	1.01883	1.02851	1.04276	1.06351	1.09344	1.13617	1.19658	1.28113	1.39827	1.55896	1.77717	2.07054	2.46103	2.9756	3.6469	4.51392	5.62255	7.02597	8.78482	10.9671	13.6478	16.9077	20.8326	25.5108	31.0313	37.4807	44.9401	53.4815	63.1642	74.0312	86.1054	99.3873	113.852	129.446	146.092	163.682	182.084	201.145	220.689	240.53	260.47	280.311	299.855	318.915	337.318	354.908	371.554	387.148	401.613	414.894	426.969	437.836	447.518	456.06	463.519	469.969	475.489	480.167	484.092	487.352	490.033	492.215	493.974	495.377	496.486	497.353	498.024	498.539	498.929	499.223	499.441	499.602	499.719	499.803	499.864	499.906	499.936	499.957	499.971	499.981	499.988	499.992	499.995	499.997	499.998	499.999	499.999	499.999	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	499.999	499.999	499.999	499.998	499.997	499.996	499.995	499.992	499.989	499.984	499.977	499.968	499.956	499.94	499.919	499.892	499.857	499.812	499.755	499.685	499.599	499.494	499.368	499.219	499.044	498.841	498.61	498.349	498.058	497.739	497.394	497.027	496.641	496.244	495.841	495.44	495.052	494.683	494.344	494.044	493.79	493.589	493.449	493.372	83.0601	
400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00001	1.00002	1.00004	1.00006	1.0001	1.00015	1.00024	1.00037	1.00057	1.00087	1.00131	1.00198	1.00296	1.00439	1.00646	1.00945	1.01372	1.01978	1.02831	1.04022	1.05675	1.0795	1.11059	1.15274	1.20946	1.28523	1.38568	1.51784	1.69044	1.91416	2.20196	2.56943	3.03509	3.62078	4.35191	5.25777	6.3717	7.73123	9.37808	11.358	13.7207	16.5188	19.8078	23.6449	28.088	33.1942	39.0184	45.6119	53.0203	61.2822	70.4267	80.4723	91.4252	103.278	116.008	129.578	143.936	159.013	174.726	190.98	207.667	224.672	241.868	259.13	276.327	293.331	310.019	326.273	341.986	357.063	371.42	384.991	397.721	409.574	420.526	430.572	439.716	447.978	455.387	461.98	467.805	472.911	477.354	481.191	484.48	487.278	489.641	491.621	493.267	494.627	495.741	496.647	497.378	497.964	498.429	498.797	499.085	499.308	499.481	499.613	499.713	499.789	499.846	499.888	499.919	499.942	499.958	499.97	499.979	499.985	499.989	499.992	499.994	499.996	499.997	499.997	499.998	499.998	499.998	499.998	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.999	499.998	499.998	499.998	499.998	499.998	499.998	499.997	499.996	499.995	499.994	499.993	499.99	499.987	499.983	499.978	499.971	499.962	499.95	499.936	499.917	499.894	499.866	499.831	499.788	499.736	499.674	499.601	499.514	499.414	499.297	499.164	499.012	498.843	498.653	498.445	498.218	497.973	497.711	497.435	497.147	496.851	496.549	496.247	495.95	495.661	495.387	495.132	494.901	494.699	494.531	494.399	494.307	494.257	83.2083	
500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00002	1.00003	1.00004	1.00006	1.00009	1.00014	1.00021	1.00031	1.00046	1.00067	1.00098	1.00142	1.00205	1.00293	1.00418	1.00591	1.00832	1.01164	1.0162	1.0224	1.03081	1.04214	1.0573	1.07746	1.10414	1.1392	1.18503	1.24454	1.32139	1.42001	1.54582	1.70536	1.90644	2.15838	2.47214	2.86054	3.33847	3.92303	4.63374	5.49262	6.52436	7.75631	9.2185	10.9436	12.9666	15.3248	18.0572	21.2043	24.8072	28.9073	33.5451	38.7598	44.588	51.0628	58.2129	66.0612	74.6244	83.9116	93.9237	104.652	116.08	128.18	140.914	154.235	168.087	182.405	197.116	212.139	227.39	242.779	258.214	273.603	288.854	303.877	318.588	332.905	346.758	360.079	372.813	384.912	396.34	407.069	417.081	426.368	434.932	442.78	449.93	456.405	462.233	467.448	472.085	476.185	479.788	482.935	485.668	488.026	490.049	491.774	493.236	494.468	495.5	496.359	497.07	497.654	498.132	498.521	498.834	499.086	499.287	499.447	499.573	499.671	499.748	499.808	499.854	499.889	499.915	499.935	499.951	499.962	499.97	499.977	499.981	499.984	499.987	499.989	499.99	499.991	499.991	499.992	499.992	499.992	499.992	499.992	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.993	499.992	499.992	499.992	499.992	499.992	499.991	499.991	499.99	499.99	499.989	499.987	499.985	499.983	499.98	499.976	499.971	499.965	499.957	499.947	499.935	499.92	499.902	499.88	499.854	499.822	499.784	499.74	499.688	499.627	499.557	499.477	499.385	499.282	499.166	499.037	498.894	498.737	498.567	498.383	498.187	497.979	497.76	497.532	497.298	497.058	496.817	496.576	496.339	496.108	495.889	495.682	495.493	495.323	495.176	495.054	494.959	494.893	494.857	83.3087	
600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00002	1.00002	1.00003	1.00005	1.00007	1.0001	1.00015	1.00022	1.00031	1.00044	1.00063	1.00088	1.00124	1.00174	1.00242	1.00335	1.00461	1.00632	1.00863	1.01172	1.01585	1.02132	1.02855	1.03804	1.05046	1.0666	1.0875	1.11441	1.1489	1.19286	1.24864	1.31904	1.40746	1.51795	1.65534	1.82532	2.03457	2.29087	2.60324	2.98204	3.43911	3.98785	4.64337	5.42253	6.34403	7.42841	8.69811	10.1774	11.8921	13.87	16.1399	18.732	21.6773	25.007	28.7526	32.945	37.614	42.7879	48.4926	54.7511	61.5829	69.0033	77.0227	85.6461	94.8727	104.695	115.1	126.067	137.569	149.57	162.031	174.904	188.137	201.672	215.445	229.393	243.445	257.533	271.585	285.532	299.306	312.841	326.073	338.947	351.407	363.409	374.91	385.877	396.282	406.105	415.332	423.955	431.974	439.395	446.227	452.485	458.19	463.364	468.033	472.225	475.971	479.3	482.246	484.838	487.108	489.086	490.8	492.28	493.549	494.634	495.555	496.334	496.99	497.539	497.996	498.374	498.687	498.943	499.152	499.322	499.46	499.57	499.659	499.729	499.785	499.829	499.863	499.89	499.911	499.927	499.94	499.949	499.956	499.962	499.966	499.969	499.971	499.973	499.974	499.975	499.976	499.976	499.977	499.977	499.977	499.977	499.977	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.978	499.977	499.977	499.977	499.977	499.977	499.977	499.976	499.976	499.975	499.974	499.973	499.972	499.97	499.968	499.965	499.962	499.958	499.952	499.946	499.938	499.928	499.917	499.903	499.886	499.866	499.843	499.815	499.783	499.746	499.703	499.653	499.596	499.532	499.459	499.377	499.287	499.186	499.075	498.954	498.822	498.68	498.528	498.366	498.195	498.015	497.828	497.636	497.438	497.238	497.037	496.836	496.639	496.447	496.263	496.089	495.926	495.779	495.647	495.534	495.44	495.368	495.318	495.291	83.3811	
700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00001	1.00002	1.00002	1.00003	1.00005	1.00007	1.0001	1.00013	1.00019	1.00026	1.00037	1.00051	1.0007	1.00096	1.00131	1.00179	1.00243	1.00328	1.00442	1.00593	1.00791	1.01052	1.01393	1.01837	1.02413	1.03156	1.04111	1.05334	1.06892	1.08869	1.11368	1.14511	1.18448	1.2336	1.2946	1.37005	1.46295	1.57686	1.71593	1.88499	2.08963	2.33628	2.63227	2.98598	3.40684	3.90545	4.49364	5.18455	5.99263	6.9337	8.02497	9.28497	10.7336	12.3919	14.2821	16.4275	18.852	21.5802	24.6371	28.0475	31.8361	36.0267	40.6422	45.7038	51.231	57.2407	63.747	70.7607	78.2892	86.3356	94.8985	103.972	113.546	123.605	134.126	145.086	156.453	168.192	180.263	192.622	205.223	218.014	230.943	243.955	256.996	270.008	282.937	295.728	308.329	320.688	332.759	344.498	355.865	366.825	377.347	387.405	396.979	406.053	414.616	422.662	430.19	437.204	443.71	449.72	455.247	460.309	464.924	469.115	472.904	476.314	479.371	482.099	484.524	486.669	488.559	490.218	491.666	492.926	494.017	494.958	495.767	496.457	497.046	497.544	497.965	498.319	498.615	498.861	499.066	499.235	499.374	499.488	499.581	499.656	499.717	499.767	499.806	499.837	499.862	499.882	499.898	499.91	499.92	499.927	499.933	499.937	499.941	499.943	499.945	499.947	499.948	499.949	499.949	499.95	499.95	499.95	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.951	499.95	499.95	499.95	499.949	499.949	499.948	499.948	499.947	499.945	499.944	499.942	499.94	499.937	499.933	499.929	499.924	499.918	499.91	499.902	499.891	499.878	499.864	499.846	499.826	499.802	499.775	499.744	499.708	499.667	499.621	499.569	499.511	499.445	499.373	499.293	499.206	499.11	499.006	498.894	498.773	498.644	498.508	498.364	498.213	498.056	497.894	497.727	497.557	497.385	497.213	497.041	496.872	496.707	496.548	496.396	496.254	496.122	496.003	495.897	495.806	495.732	495.674	495.635	495.613	83.4351	
800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00001	1.00001	1.00002	1.00003	1.00004	1.00006	1.00008	1.00011	1.00015	1.0002	1.00028	1.00037	1.00051	1.00069	1.00093	1.00124	1.00166	1.00221	1.00293	1.00388	1.00511	1.00671	1.00879	1.01145	1.01488	1.01926	1.02484	1.03192	1.04087	1.05215	1.06631	1.08401	1.10606	1.13343	1.16726	1.20893	1.26006	1.32256	1.39869	1.49106	1.60271	1.73717	1.89849	2.0913	2.32089	2.59326	2.91516	3.29418	3.73877	4.25833	4.86322	5.56482	6.37554	7.30884	8.37923	9.60225	10.9944	12.5732	14.3569	16.3645	18.6157	21.1306	23.9296	27.033	30.4611	34.2337	38.3698	42.8874	47.8033	53.1325	58.888	65.0809	71.7192	78.8083	86.3505	94.3447	102.786	111.667	120.974	130.692	140.8	151.276	162.092	173.216	184.615	196.252	208.088	220.08	232.185	244.358	256.554	268.728	280.833	292.825	304.66	316.297	327.697	338.821	349.636	360.112	370.221	379.939	389.246	398.126	406.568	414.562	422.104	429.193	435.832	442.025	447.78	453.109	458.025	462.543	466.679	470.451	473.88	476.983	479.782	482.297	484.548	486.556	488.339	489.918	491.31	492.533	493.604	494.537	495.348	496.049	496.654	497.174	497.618	497.997	498.319	498.592	498.821	499.014	499.175	499.31	499.422	499.514	499.59	499.653	499.704	499.745	499.779	499.807	499.829	499.846	499.86	499.872	499.881	499.888	499.893	499.898	499.901	499.904	499.906	499.907	499.909	499.91	499.91	499.911	499.911	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.913	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.912	499.911	499.911	499.911	499.91	499.909	499.909	499.907	499.906	499.905	499.903	499.9	499.898	499.894	499.89	499.885	499.88	499.873	499.865	499.855	499.844	499.831	499.816	499.799	499.779	499.756	499.73	499.7	499.667	499.629	499.587	499.539	499.487	499.428	499.364	499.294	499.217	499.134	499.043	498.947	498.843	498.732	498.616	498.492	498.363	498.229	498.09	497.947	497.8	497.651	497.501	497.35	497.2	497.052	496.907	496.767	496.632	496.505	496.386	496.276	496.177	496.09	496.015	495.954	495.907	495.875	495.857	83.4759	
900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00001	1.00001	1.00001	1.00002	1.00002	1.00003	1.00004	1.00006	1.00008	1.00011	1.00014	1.00019	1.00026	1.00035	1.00047	1.00062	1.00082	1.00109	1.00143	1.00188	1.00246	1.00321	1.00418	1.00541	1.00699	1.00901	1.01156	1.0148	1.01888	1.024	1.03042	1.03844	1.04841	1.06078	1.07607	1.09491	1.11803	1.14633	1.18085	1.22281	1.27364	1.33502	1.4089	1.4975	1.60343	1.72964	1.87951	2.0569	2.26615	2.51217	2.80044	3.1371	3.52897	3.98357	4.5092	5.11492	5.81062	6.607	7.5156	8.54876	9.71965	11.0422	12.5311	14.2017	16.0699	18.1521	20.4652	23.026	25.8518	28.9596	32.366	36.0874	40.1394	44.5366	49.2926	54.4193	59.9275	65.8257	72.1204	78.8161	85.9144	93.4145	101.313	109.603	118.275	127.316	136.711	146.441	156.485	166.817	177.411	188.238	199.265	210.459	221.785	233.206	244.683	256.18	267.658	279.079	290.404	301.598	312.626	323.452	334.047	344.379	354.423	364.153	373.548	382.589	391.261	399.551	407.449	414.949	422.048	428.743	435.038	440.936	446.444	451.571	456.327	460.724	464.776	468.498	471.904	475.012	477.838	480.398	482.711	484.794	486.662	488.332	489.821	491.144	492.315	493.348	494.257	495.053	495.749	496.354	496.88	497.335	497.727	498.063	498.351	498.597	498.807	498.984	499.134	499.26	499.366	499.455	499.529	499.59	499.641	499.683	499.717	499.746	499.769	499.788	499.803	499.815	499.825	499.833	499.84	499.845	499.849	499.852	499.855	499.857	499.858	499.859	499.86	499.861	499.862	499.862	499.863	499.863	499.863	499.863	499.863	499.863	499.863	499.863	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.864	499.863	499.863	499.863	499.863	499.863	499.863	499.863	499.863	499.863	499.862	499.862	499.862	499.861	499.861	499.86	499.859	499.858	499.857	499.855	499.854	499.851	499.849	499.846	499.842	499.837	499.832	499.826	499.819	499.811	499.801	499.79	499.777	499.762	499.745	499.726	499.704	499.68	499.652	499.621	499.586	499.547	499.504	499.457	499.405	499.348	499.285	499.218	499.145	499.066	498.981	498.891	498.796	498.694	498.588	498.476	498.359	498.239	498.114	497.986	497.855	497.723	497.589	497.455	497.322	497.19	497.061	496.935	496.814	496.698	496.589	496.488	496.395	496.311	496.237	496.175	496.123	496.084	496.057	496.043	83.5068	
